,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ENSMUSG00000103406,603.9637168,3.377460477,0.194350953,17.37815234,1.21E-67,1.49E-63
ENSMUSG00000004552,1346.427641,-3.08935241,0.192052994,-16.08593729,3.20E-58,1.98E-54
ENSMUSG00000005615,1873.7979,2.8129171,0.184345618,15.25893115,1.44E-52,5.91E-49
ENSMUSG00000021200,684.7508907,2.80079637,0.198545892,14.10654401,3.46E-45,1.07E-41
ENSMUSG00000000266,346.3068884,3.080886308,0.245544012,12.54718566,4.12E-36,1.02E-32
ENSMUSG00000039137,3290.844086,2.137243095,0.175835302,12.15480098,5.41E-34,1.11E-30
ENSMUSG00000041782,130.5383937,4.32501782,0.370839272,11.66278264,1.97E-31,3.49E-28
ENSMUSG00000056032,175.7335599,4.818261006,0.441337253,10.91741288,9.52E-28,1.47E-24
ENSMUSG00000030103,13592.05365,1.883577056,0.189070444,9.962302997,2.23E-23,3.06E-20
ENSMUSG00000028238,128.7684707,2.36473432,0.241735118,9.782336733,1.34E-22,1.66E-19
ENSMUSG00000096847,81.61734206,4.283166385,0.455333045,9.406667128,5.12E-21,5.75E-18
ENSMUSG00000042064,914.7033296,1.702475949,0.182926046,9.306908351,1.32E-20,1.36E-17
ENSMUSG00000051747,1383.933741,2.471395101,0.288656069,8.561729211,1.11E-17,1.06E-14
ENSMUSG00000079657,151.8130019,2.192917819,0.258607271,8.479722222,2.26E-17,1.99E-14
ENSMUSG00000026131,2172.788372,1.255363745,0.148337766,8.462873461,2.61E-17,2.15E-14
ENSMUSG00000028965,8714.430062,1.059043983,0.12663082,8.363240335,6.10E-17,4.71E-14
ENSMUSG00000022899,2063.298205,-1.178333334,0.142211959,-8.28575417,1.17E-16,8.53E-14
ENSMUSG00000009588,72.15909253,3.699905122,0.449489048,8.231357675,1.85E-16,1.27E-13
ENSMUSG00000057286,57.546664,3.322199056,0.406055555,8.18163677,2.80E-16,1.82E-13
ENSMUSG00000001768,396.3656284,1.593937844,0.195394605,8.157532511,3.42E-16,2.10E-13
ENSMUSG00000050052,325.9498066,-1.310575857,0.16075997,-8.152376853,3.57E-16,2.10E-13
ENSMUSG00000034059,468.9399777,1.309754828,0.162756226,8.047340856,8.46E-16,4.75E-13
ENSMUSG00000026399,721.2157656,-1.890810062,0.235696046,-8.022239211,1.04E-15,5.58E-13
ENSMUSG00000024424,796.6110961,1.303169703,0.163808227,7.955459419,1.78E-15,9.19E-13
ENSMUSG00000026069,2372.560766,1.532874763,0.193768949,7.910837992,2.56E-15,1.26E-12
ENSMUSG00000050395,108.5771823,3.382278543,0.439523482,7.695330703,1.41E-14,6.71E-12
ENSMUSG00000025036,108.0805139,-2.008052034,0.265309691,-7.568709718,3.77E-14,1.73E-11
ENSMUSG00000106219,35.77122723,3.842425784,0.508837853,7.551375674,4.31E-14,1.90E-11
ENSMUSG00000032238,3994.42157,1.319627058,0.176191478,7.489732624,6.90E-14,2.94E-11
ENSMUSG00000051586,1168.299024,1.027819816,0.138058687,7.444803636,9.71E-14,4.00E-11
ENSMUSG00000035513,919.4747402,1.151644471,0.155146883,7.422930134,1.15E-13,4.57E-11
ENSMUSG00000032202,1193.632292,1.101330095,0.150836482,7.301483559,2.85E-13,1.10E-10
ENSMUSG00000039270,295.8626903,1.785579859,0.245329463,7.278293607,3.38E-13,1.27E-10
ENSMUSG00000103865,78.49215244,2.173968537,0.300012945,7.246249106,4.28E-13,1.56E-10
ENSMUSG00000021223,35.41896204,3.588074699,0.497153016,7.21724416,5.31E-13,1.87E-10
ENSMUSG00000041926,308.6766944,1.155954865,0.160594506,7.19797267,6.11E-13,2.10E-10
ENSMUSG00000072966,133.4508545,1.825537532,0.2562202,7.124877483,1.04E-12,3.46E-10
ENSMUSG00000086503,5231.327088,6.751053007,0.947902876,7.122093598,1.06E-12,3.46E-10
ENSMUSG00000079056,38.88986353,3.564005743,0.502126381,7.097826127,1.27E-12,4.02E-10
ENSMUSG00000025225,5628.589821,-0.937032263,0.132678262,-7.062439973,1.64E-12,4.93E-10
ENSMUSG00000032625,30.64558455,4.581925682,0.648759433,7.062595853,1.63E-12,4.93E-10
ENSMUSG00000040711,328.5498832,3.92787934,0.56000231,7.014041321,2.32E-12,6.81E-10
ENSMUSG00000002602,1125.297776,1.756386688,0.25187035,6.973376138,3.09E-12,8.89E-10
ENSMUSG00000026070,2635.821771,1.325359884,0.190759103,6.947819862,3.71E-12,1.04E-09
